52 ActuallyNPH 2852 126 27622285 187
53 danieltosh 13677 132 27340465 2
54 davidguetta 4375 284 22153819 2333
55 ConanOBrien 3338 1 28494065 -1
56 SrBachchan 61847 1810 33545793 62
57 aplusk 9842 776 19083434 466
58 khloekardashian 57245 306 26010049 146
59 kourtneykardash 12580 68 23775835 2107
60 zaynmalik 3425 2251 26884244 377
61 iamsrk 57219 78 34110187 18
62 coldplay 7234 1511 25224816 864
63 MariahCarey 7657 93 20786807 1000
64 edsheeran 29298 -1 -1 -1
65 xtina 1016 24 17081022 28
66 JimCarrey 4259 1 17830777 9
67 kanyewest -1 -1 -1 -1
68 chrisbrown 4051 1 27562645 623
69 aamir_khan 540 9 23020528 15
70 BeingSalmanKhan 42315 22 31956315 -1
71 agnezmo 14876 1078 17647777 2140
72 Beyonce 10 10 15166850 -1
73 blakeshelton 10629 708 20914483 148
74 RyanSeacrest 14017 563 17037412 758
75 ivetesangalo 42760 721 16415807 393
76 LeoDiCaprio 1186 147 19206104 40
77 ParisHilton 28996 7644 17922678 14585
78 iamwill 7624 1440 13565150 126
79 MohamadAlarefe 35356 5 21307219 38
80 KendallJenner 9203 131 26428935 4147
81 ashleytisdale 8651 222 14056104 4769
82 tyrabanks 8362 1114 15204629 9773
83 SnoopDogg 40688 2735 17909336 2301
84 AlejandroSanz 28411 1606 19336799 11328
85 ricky_martin 6517 415 20713567 696
86 10Ronaldinho 4772 92 17546823 536
87 SimonCowell 1854 2748 12553888 26
88 WayneRooney 2256 448 17050158 853
89 KDTrey5 23197 1456 17479360 94
90 maroon5 5533 455 15039505 3312
91 radityadika 52776 754 16190301 51
92 KylieJenner 12499 1154 24991032 265
93 ClaudiaLeitte 50969 953 14532412 17651
94 DaniloGentili 62931 284 16253876 351
95 shugairi 8524 -1 -1 -1
96 marcosmion 20773 582 13493756 8317
97 deepikapadukone 3709 77 23518378 16
98 stephenfry 22743 50371 13115494 436
99 charliesheen 2244 174 12263971 949
100 andresiniesta8 1700 81 22193830 10
101 iHrithik 4483 86 22815290 107
102 priyankachopra 20601 539 22090540 1299
103 LucianoHuck 10658 395 12953442 113
104 3gerardpique 2552 559 18301887 123
105 ZacEfron 1701 109 16020230 1220
106 carlyraejepsen 6716 85849 10994361 2165
107 rustyrockets 10588 390 12281688 425
108 juanes 10098 1844 11875288 5556
109 paurubio 8634 1151 11519311 1903
110 iamdiddy -1 -1 -1 -1
111 Ludacris 20478 321 12139801 33
112 SHAQ 9077 689 15110386 73
113 paulocoelho 33624 287 15291787 30709
114 SabrinaSatoReal 4 2 1397 1
115 kelly_clarkson 6649 86 12432331 82
116 tomhanks 830 25 15309205 -1
117 Dr_alqarnee 54948 224 18899998 346
118 Usher 5677 571 12853465 1191
119 akshaykumar 38565 25 25544611 604
120 LunaMaya26 14286 672 11665801 274
121 rickygervais 48661 1236 13068227 41632
122 MesutOzil1088 1345 86 22095557 37
123 sherinasinna 10 184 11019867 23
124 CMYLMZ 881 125 13856781 -1
125 nickjonas 4478 693 13658986 5368
126 XabiAlonso 595 526 11725448 666
127 TheRock 20942 210 12674232 130
128 enrique305 1 -1 -1 -1
129 StephenAtHome 5562 19 17861527 3
130 aguerosergiokun 4466 123 13027128 27
131 VictoriaJustice 20379 1923 10868142 1996
132 FALCAO 5725 604 16356501 80
133 lindsaylohan 42 701 9365303 622
134 arrahman 4413 1 19660460 66
135 AustinMahone 41460 78162 10312310 5203
136 victoriabeckham 3450 56 13177410 131
137 jamesdrodriguez 2624 295 16543414 75
138 TreySongz 13656 3634 13799514 659
139 SofiaVergara 7444 81 9350900 485
140 jessicaalba 6224 1363 9652314 1414
141 RafaelNadal 2609 93 15498801 52
142 rafinhabastos 32201 338 11875969 2807
143 daddy_yankee 19112 103 11696115 12210
144 afgansyah_reza 11560 587 10026699 2
145 Anahi 7782 676 10091936 6
146 LMFAO 5787 1505 8011579 280
147 realwbonner 10278 -1 -1 -1
148 imVkohli 1454 52 23694527 168
149 JessieJ 20523 148 9193875 1016
150 vidialdiano 31568 514 8830877 230
151 annecurtissmith 45462 1524 10411263 3293
152 sachin_rt 2024 78 24767368 64
153 MarceloTas 19142 2749 9802510 8871
